0,1,2
"['Q478214', 'Tesla Inc', True]","['Q786820', 'automobile manufacturer', True]",P31
"['Q478214', 'Tesla Inc', True]","['Q167037', 'corporation', True]",P31
"['Q478214', 'Tesla Inc', True]","['Q6881511', 'enterprise', True]",P31
"['Q478214', 'Tesla Inc', True]","['Q4830453', 'business', True]",P31
"['Q478214', 'Tesla Inc', True]","['Q431289', 'brand', True]",P31
"['Q478214', 'Tesla Inc', True]","['Q891723', 'public company', True]",P31
"['Q478214', 'Tesla Inc', True]","['Q190117', 'automotive industry', True]",P452
"['Q478214', 'Tesla Inc', True]","['Q15847894', 'solar industry', True]",P452
"['Q478214', 'Tesla Inc', True]","['Q99529212', 'battery industry', True]",P452
"['Q478214', 'Tesla Inc', True]","['Q210893', 'Tesla Roadster (2008)', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q23663332', 'Tesla Model 3', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q1634161', 'Tesla Model X', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q1463050', 'Tesla Model S', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q19845823', 'Tesla Powerwall', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q40008974', 'Tesla Semi', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q42298250', 'Tesla Model Y', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q62085799', 'Tesla Powerpack', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q56556139', 'Tesla Solar Roof', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q62090928', 'Tesla Solar Panels', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q17089620', 'Tesla Supercharger network', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q85806042', 'Tesla Megapack', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q193692', 'electric car', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q2935166', 'electric truck', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q2822895', 'lithium-ion battery', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q774583', 'solar panel', True]",P1056
"['Q478214', 'Tesla Inc', True]","['Q1903673', 'Martin Eberhard', True]",P112
"['Q478214', 'Tesla Inc', True]","['Q1892831', 'Marc Tarpenning', True]",P112
"['Q478214', 'Tesla Inc', True]","['Q317521', 'Elon Musk', True]",P127
"['Q478214', 'Tesla Inc', True]","['Q1411292', 'Fidelity Investments', True]",P127
"['Q478214', 'Tesla Inc', True]","['Q4848455', 'Baillie Gifford', True]",P127
"['Q478214', 'Tesla Inc', True]","['Q3511946', 'T. Rowe Price', True]",P127
"['Q478214', 'Tesla Inc', True]","['Q317521', 'Elon Musk', True]",P127
"['Q478214', 'Tesla Inc', True]","['Q1411292', 'Fidelity Investments', True]",P127
"['Q478214', 'Tesla Inc', True]","['Q3511946', 'T. Rowe Price', True]",P127
"['Q478214', 'Tesla Inc', True]","['Q1196231', 'Government Pension Fund Global', True]",P127
"['Q478214', 'Tesla Inc', True]","['Q317521', 'Elon Musk', True]",P127
"['Q478214', 'Tesla Inc', True]","['Q4848455', 'Baillie Gifford', True]",P127
"['Q478214', 'Tesla Inc', True]","['Q505275', 'Capital Group Companies', True]",P127
"['Q478214', 'Tesla Inc', True]","['Q92759', 'Larry Ellison', True]",P127
"['Q478214', 'Tesla Inc', True]","['Q317521', 'Elon Musk', True]",P169
"['Q478214', 'Tesla Inc', True]","['Q8068146', ""Ze'ev Drori"", True]",P169
"['Q478214', 'Tesla Inc', True]","['Q1903673', 'Martin Eberhard', True]",P169
"['Q478214', 'Tesla Inc', True]","['Q7555824', 'SolarCity', True]",P355
"['Q478214', 'Tesla Inc', True]","['Q22674561', 'Tesla Grohmann Automation', True]",P355
"['Q478214', 'Tesla Inc', True]","['Q17182894', 'Giga Nevada', True]",P1830
"['Q478214', 'Tesla Inc', True]","['Q75327597', 'Gigafactory Berlin-Brandenburg', True]",P1830
"['Q478214', 'Tesla Inc', True]","['Q96379480', 'Giga Texas', True]",P1830
"['Q478214', 'Tesla Inc', True]","['Q7705509', 'Tesla Fremont Factory', True]",P1830
"['Q478214', 'Tesla Inc', True]","['Q55642234', 'Giga Shanghai', True]",P1830
"['Q478214', 'Tesla Inc', True]","['Q28221306', 'Giga New York', True]",P1830
"['Q478214', 'Tesla Inc', True]","['Q317521', 'Elon Musk', True]",P3320
"['Q478214', 'Tesla Inc', True]","['Q58345040', 'Robyn Denholm', True]",P3320
"['Q478214', 'Tesla Inc', True]","['Q92759', 'Larry Ellison', True]",P3320
"['Q478214', 'Tesla Inc', True]","['Q86744346', 'Hiromichi Mizuno', True]",P3320
"['Q478214', 'Tesla Inc', True]","['Q471851', 'James Murdoch', True]",P3320
"['Q478214', 'Tesla Inc', True]","['Q6409751', 'Kimbal Musk', True]",P3320
"['Q478214', 'Tesla Inc', True]","['Q60330177', 'Kathleen Wilson-Thompson', True]",P3320
"['Q478214', 'Tesla Inc', True]","['Q19560551', 'Joe Gebbia', True]",P3320
"['Q478214', 'Tesla Inc', True]","['Q6918171', 'Motor Trend Car of the Year', True]",P166
"['Q478214', 'Tesla Inc', True]","['Q2517928', ""'Verschlossene Auster' award"", True]",P166
"['Q478214', 'Tesla Inc', True]","['Q1969854', 'Natur-Aktien-Index', True]",P361
"['Q478214', 'Tesla Inc', True]","['Q242345', 'S&P 500', True]",P361
"['Q478214', 'Tesla Inc', True]","['Q507306', 'Nasdaq-100', True]",P361
"['Q478214', 'Tesla Inc', True]","['Q28444691', 'LOT Network', True]",P463
"['Q478214', 'Tesla Inc', True]","['Q8844499', 'Category:Tesla, Inc.', True]",P910
"['Q478214', 'Tesla Inc', True]","['Q82059', 'Nasdaq', True]",P414
"['Q478214', 'Tesla Inc', True]","['Q151139', 'Boerse Frankfurt - Regulierter Markt', True]",P414
"['Q478214', 'Tesla Inc', True]","['Q819468', 'Xetra', True]",P414
"['Q478214', 'Tesla Inc', True]","['Q171240', 'London Stock Exchange', True]",P414
"['Q29921278', 'Nio', True]","['Q786820', 'automobile manufacturer', True]",P31
"['Q29921278', 'Nio', True]","['Q10429667', 'car brand', True]",P31
"['Q29921278', 'Nio', True]","['Q4830453', 'business', True]",P31
"['Q29921278', 'Nio', True]","['Q891723', 'public company', True]",P31
"['Q29921278', 'Nio', True]","['Q190117', 'automotive industry', True]",P452
"['Q29921278', 'Nio', True]","['Q193692', 'electric car', True]",P1056
"['Q29921278', 'Nio', True]","['Q61726993', 'William Li', True]",P112
"['Q29921278', 'Nio', True]","['Q61726993', 'William Li', True]",P169
"['Q29921278', 'Nio', True]","['Q15299202', 'Nio 333 Racing', True]",P355
"['Q29921278', 'Nio', True]","['Q13677', 'New York Stock Exchange', True]",P414
"['Q29921278', 'Nio', True]","['Q496672', 'Hong Kong Exchanges And Clearing Ltd', True]",P414
"['Q55931', 'Hyundai Motor Company', True]","['Q786820', 'automobile manufacturer', True]",P31
"['Q55931', 'Hyundai Motor Company', True]","['Q43229', 'organization', True]",P31
"['Q55931', 'Hyundai Motor Company', True]","['Q783794', 'company', True]",P31
"['Q55931', 'Hyundai Motor Company', True]","['Q891723', 'public company', True]",P31
"['Q55931', 'Hyundai Motor Company', True]","['Q190117', 'automotive industry', True]",P452
"['Q55931', 'Hyundai Motor Company', True]","['Q43193', 'truck', True]",P1056
"['Q55931', 'Hyundai Motor Company', True]","['Q1420', 'motor car', True]",P1056
"['Q55931', 'Hyundai Motor Company', True]","['Q468467', 'Jeong Ju-yung', True]",P112
"['Q55931', 'Hyundai Motor Company', True]","['Q497534', 'Hyundai Mobis', True]",P127
"['Q55931', 'Hyundai Motor Company', True]","['Q488446', 'Chung Mong-koo', True]",P127
"['Q55931', 'Hyundai Motor Company', True]","['Q6974864', 'National Pension Service', True]",P127
"['Q55931', 'Hyundai Motor Company', True]","['Q5116286', 'Chung Eui-sun', True]",P127
"['Q55931', 'Hyundai Motor Company', True]","['Q5116286', 'Chung Eui-sun', True]",P169
"['Q55931', 'Hyundai Motor Company', True]","['Q1525445', 'Hyundai Motor India Limited', True]",P355
"['Q55931', 'Hyundai Motor Company', True]","['Q1641692', 'Hyundai Motor Manufacturing Alabama', True]",P355
"['Q55931', 'Hyundai Motor Company', True]","['Q5962562', 'Hyundai Capital', True]",P355
"['Q55931', 'Hyundai Motor Company', True]","['Q5962566', 'Hyundai Card', True]",P355
"['Q55931', 'Hyundai Motor Company', True]","['Q152517', 'Hyundai Rotem', True]",P355
"['Q55931', 'Hyundai Motor Company', True]","['Q17062565', 'Hyundai Motor America', True]",P355
"['Q55931', 'Hyundai Motor Company', True]","['Q1564355', 'Hyundai Motor Manufacturing Czech', True]",P355
"['Q55931', 'Hyundai Motor Company', True]","['Q16966160', 'Hyundai Motor Europe GmbH', True]",P355
"['Q55931', 'Hyundai Motor Company', True]","['Q1641633', 'Hyundai Assan Otomotiv', True]",P355
"['Q55931', 'Hyundai Motor Company', True]","['Q19795115', 'Hyundai Dymos', True]",P355
"['Q55931', 'Hyundai Motor Company', True]","['Q2298325', 'Boston Dynamics', True]",P355
"['Q55931', 'Hyundai Motor Company', True]","['Q96381543', 'Hyundai N', True]",P355
"['Q55931', 'Hyundai Motor Company', True]","['Q98441159', 'Ioniq', True]",P355
"['Q55931', 'Hyundai Motor Company', True]","['Q29311', 'Hyundai', True]",P749
"['Q55931', 'Hyundai Motor Company', True]","['Q4881139', 'Beijing Hyundai', True]",P1830
"['Q55931', 'Hyundai Motor Company', True]","['Q35349', 'Kia', True]",P1830
"['Q55931', 'Hyundai Motor Company', True]","['Q489809', 'Hyundai Engineering and Construction', True]",P1830
"['Q55931', 'Hyundai Motor Company', True]","['Q493997', 'Hyundai WIA', True]",P1830
"['Q55931', 'Hyundai Motor Company', True]","['Q11286392', 'Hyundai AutoEver', True]",P1830
"['Q55931', 'Hyundai Motor Company', True]","['Q152517', 'Hyundai Rotem', True]",P1830
"['Q55931', 'Hyundai Motor Company', True]","['Q6502960', 'Hyundai Steel', True]",P1830
"['Q55931', 'Hyundai Motor Company', True]","['Q5962598', 'Hyundai Glovis', True]",P1830
"['Q55931', 'Hyundai Motor Company', True]","['Q15614763', 'Open Automotive Alliance', True]",P463
"['Q55931', 'Hyundai Motor Company', True]","['Q858851', 'Linux Foundation', True]",P463
"['Q55931', 'Hyundai Motor Company', True]","['Q18536521', 'Category:Hyundai Motor Company', True]",P910
"['Q55931', 'Hyundai Motor Company', True]","['Q495372', 'Korean Stock Exchange', True]",P414
"['Q55931', 'Hyundai Motor Company', True]","['Q171240', 'London Stock Exchange', True]",P414
"['Q55931', 'Hyundai Motor Company', True]","['Q82059', 'Nasdaq', True]",P414
"['Q3511885', 'T-Mobile US', True]","['Q2401749', 'telecommunication company', True]",P31
"['Q3511885', 'T-Mobile US', True]","['Q4830453', 'business', True]",P31
"['Q3511885', 'T-Mobile US', True]","['Q6881511', 'enterprise', True]",P31
"['Q3511885', 'T-Mobile US', True]","['Q891723', 'public company', True]",P31
"['Q3511885', 'T-Mobile US', True]","['Q25245117', 'telecommunications', True]",P452
"['Q3511885', 'T-Mobile US', True]","['Q56598901', 'mobile phone industry', True]",P452
"['Q3511885', 'T-Mobile US', True]","['Q6262563', 'Rufin Tchibinda', True]",P112
"['Q3511885', 'T-Mobile US', True]","['Q9396', 'Deutsche Telekom', True]",P127
"['Q3511885', 'T-Mobile US', True]","['Q201653', 'SoftBank Group', True]",P127
"['Q3511885', 'T-Mobile US', True]","['Q79960347', 'Mike Sievert', True]",P169
"['Q3511885', 'T-Mobile US', True]","['Q15109662', 'John Legere', True]",P169
"['Q3511885', 'T-Mobile US', True]","['Q5980246', 'iWireless', True]",P355
"['Q3511885', 'T-Mobile US', True]","['Q1925685', 'Metro by T-Mobile', True]",P355
"['Q3511885', 'T-Mobile US', True]","['Q9396', 'Deutsche Telekom', True]",P749
"['Q3511885', 'T-Mobile US', True]","['Q327634', 'T-Mobile International', True]",P749
"['Q3511885', 'T-Mobile US', True]","['Q3503718', 'SunCom', True]",P155
"['Q3511885', 'T-Mobile US', True]","['Q82059', 'Nasdaq', True]",P155
"['Q3511885', 'T-Mobile US', True]","['Q1925685', 'Metro by T-Mobile', True]",P155
"['Q3511885', 'T-Mobile US', True]","['Q369015', 'Western Wireless Corporation', True]",P155
"['Q3511885', 'T-Mobile US', True]","['Q301965', 'Sprint Corporation', True]",P155
"['Q3511885', 'T-Mobile US', True]","['Q507306', 'Nasdaq-100', True]",P361
"['Q3511885', 'T-Mobile US', True]","['Q242345', 'S&P 500', True]",P361
"['Q3511885', 'T-Mobile US', True]","['Q82059', 'Nasdaq', True]",P414
"['Q98139925', 'Li Auto', True]","['Q783794', 'company', True]",P31
"['Q98139925', 'Li Auto', True]","['Q4830453', 'business', True]",P31
"['Q98139925', 'Li Auto', True]","['Q190117', 'automotive industry', True]",P452
"['Q20165', 'Nissan', True]","['Q431289', 'brand', True]",P31
"['Q20165', 'Nissan', True]","['Q891723', 'public company', True]",P31
"['Q20165', 'Nissan', True]","['Q786820', 'automobile manufacturer', True]",P31
"['Q20165', 'Nissan', True]","['Q190117', 'automotive industry', True]",P452
"['Q20165', 'Nissan', True]","['Q43193', 'truck', True]",P1056
"['Q20165', 'Nissan', True]","['Q1420', 'motor car', True]",P1056
"['Q20165', 'Nissan', True]","['Q404867', 'Yoshisuke Aikawa', True]",P112
"['Q20165', 'Nissan', True]","['Q707834', 'Den Kenjirō', True]",P112
"['Q20165', 'Nissan', True]","['Q2580296', 'William R. Gorham', True]",P112
"['Q20165', 'Nissan', True]","['Q6686', 'Renault', True]",P127
"['Q20165', 'Nissan', True]","['Q27530', 'Mercedes-Benz Group', True]",P127
"['Q20165', 'Nissan', True]","['Q356719', 'Carlos Ghosn', True]",P169
"['Q20165', 'Nissan', True]","['Q30923926', 'Hiroto Saikawa', True]",P169
"['Q20165', 'Nissan', True]","['Q11428388', 'Yoshikazu Hanawa', True]",P169
"['Q20165', 'Nissan', True]","['Q70092183', 'Makoto Uchida', True]",P169
